Aspecto,Requerimiento,Prueba prevista,Criterio o métrica,Resultado
Negocio,,,,
R1,Detección de consumos anómalos en un tiempo determinado.,Carga de datos de clientes del segmento no supervizado con consumos irregulares.,Cantidad de clientes con consumos irregulares mayor a 1.,Cumple.  Es posible ver marcaciones y detalles de consumos que son identificados con anómalos (irregulares)
R2,Análisis descriptivo del consumo a nivel de cliente.,Prueba de usuario.,Usuario satisfecho con la comprensión obtenida a partir del análisis descriptivo.,Cumple.  La web presenta indicadores y gráficos que permiten un análisis descriptivo de los datos contenidos de consumo por cliente y sector.
R3,Establecimiento de un plan de comunicación y capacitación para los usuarios finales.,Desarrollo y ejecución de un plan detallado de comunicación y capacitación para los usuarios finales del sistema analítico.,Al menos el 90% de los usuarios finales capacitados informan sentirse cómodos y competentes al utilizar las herramientas y funcionalidades proporcionadas.,"Cumple.  Se entrega manual de usuario detallado, video explicativo y repositorio en Git que permite a los usarios ser capacitados en el uso y actualización de la herramienta."
Desempeño,,,,
R4,Desarrollar modelo de machine learning con la capacidad de detectar consumos anómalos.,Backtesting del modelo con datos históricos.,Error absoluto medio porcentual (MAPE) del modelo ≤ 30% en la detección de consumos anómalos.,"Cumple.  Se detectan consumos anómalos y estos representan el 28% del total de los datos.  Se resalta que debido al modelo de serie de tiempo utilizado, la métrica utilizada fue MAE y no MAPE."
R5,Alta disponibilidad de la máquina virtual en aws.,Monitoreo continuo del tiempo de actividad de la máquina virtual.,Cumple,Cumple.  La herramienta se encuentra en servicio de AWS con máquina virtual de uso continuo.
R6,Optimización del tiempo de respuesta del sistema analítico.,Pruebas de carga y rendimiento para evaluar el tiempo de respuesta del sistema bajo diferentes cargas de trabajo.,"El tiempo promedio de respuesta del sistema para consultas estándar no debe exceder los 2 segundos, incluso bajo cargas máximas simuladas.","Cumple.  En pruebas realizadas con el paquete de datos completo, la respuesta de la herramienta está dentro de los parámetros esperados.  Es de resaltar que la velocidad del internet del cliente puede afectar este desempeño, pero este es un factor externo al funcionamiento de la misma."
Funcional,,,,
R7,Interfaz visual amigable que permita la visualización de datos.,"Validación cruzada de la interfaz en diferentes navegadores (Chrome, Firefox, Safari)",Interfaz se carga correctamente y es funcional en todos los navegadores comunes.,Cumple.  La herramienta funciona correctamente en diferentes navegadores y permite una correcta visualización en diferentes disponitivos (responsive).
R8,Que la página web permita la correcta navegación a través de sus elementos interactivos.,Testeo de los elementos interactivos de la interfaz gráfica (web).,Todos los elementos interactivos responden correctamente a las acciones del usuario sin errores evidentes.,"Cumple.  Todos los elementos, indicadores, gráficos y botones de la web funcionan de forma correcta e interactiva para el usuario."
R9,Se permita la actualización de datos constante por parte del cliente.,Carga de nuevos datos al entorno productivo.,Datos cargados disponibles para visualización en el front (Web),"Cumple. Se realizan pruebas de carga de actualización de datos, obteniendo una completa actualización de información en el front de la herramienta."
R10,Alertamiento datos inconsistentes,Ejecución de carga con datos inconsistentes o mal estructurados.,Recepción del correo de notificación.,"Cumple Parcial.  Dentro del desarrollo se determinó que enviar el correo era añadir complejidad al pipeline de datos, que no aportaba un valor significativo.  En concecuencia se cambió el envío del correo por un log de trazabilidad donde el usuario puede consultar novedades en el cargue o uso de la herramienta."
R11,Carga de datos restringida,Exista un proceso de autenticación,Prueba de autenticación exitosa,"Cumple.  Se cuentan con credenciales de autenticación que permiten limitar el acceso de actualización de datos, solo a los funcionarios que la compañia desee."
